datasetKey,sectorKey,alias,action,category,explanation,examples,publisher,size,title,url
23786,12414,Maia2018,block,host plant association,host plant Pterandra placed under Diptera,Pterandra [Animalia/Insecta/Diptera] vs A.Juss. [Plantae/Magnoliopsida/Malpighiales/Malpighiaceae],Plazi.org taxonomic treatments database,5,"Myrciamyia pterandrae (Diptera, Cecidomyiidae, Lopesiini), a new species of gall midge associated with Pterandra pyroidea A. Juss. (Malpighiaceae), an endemic plant in Brazilian Cerrado",https://www.checklistbank.org/dataset/23786
264238,44477,Nishidono2021,block,host plant association,Apiaceae host plant placed under Papilionidae,Saposhnikovia [Animalia/Insecta/Lepidoptera/Papilionidae] vs Schischk. [Plantae/Magnoliopsida/Apiales/Apiaceae],Plazi.org taxonomic treatments database,6,α-Linolenic acid in Papilio machaon larvae regurgitant induces a defensive response in Apiaceae,https://www.checklistbank.org/dataset/264238
47841,33867,Pellizzari2010,block,host plant association,host plant Leptospermum placed under Hemiptera,Leptospermum [Animalia/Insecta/Hemiptera] vs J.R.Forst. & G.Forst. [Plantae/Magnoliopsida/Myrtales/Myrtaceae],Plazi.org taxonomic treatments database,5,"A new species of Acanthococcus (Hemiptera, Coccoidea, Eriococcidae) on Leptospermum scoparium (Myrtaceae) from Italy and France",https://www.checklistbank.org/dataset/47841
33138,20193,Praz2017,block,host plant association,host plant Epilobium placed under Megachilidae,Epilobium [Animalia/Insecta/Hymenoptera/Megachilidae] vs L. [Plantae/Magnoliopsida/Myrtales/Onagraceae],Plazi.org taxonomic treatments database,17,"Subgeneric classification and biology of the leafcutter and dauber bees (genus Megachile Latreille) of the western Palearctic (Hymenoptera, Apoidea, Megachilidae)",https://www.checklistbank.org/dataset/33138
311702,62974,Roell2023,block,host plant association,plant Blachia placed under Pentatomidae,Blachia [Animalia/Insecta/Hemiptera/Pentatomidae] vs Baill. [Plantae/Magnoliopsida/Malpighiales/Euphorbiaceae],Plazi.org taxonomic treatments database,319,"An annotated and illustrated Type Catalogue of the predacious Shieldbugs (Hemiptera: Heteroptera: Pentatomidae: Asopinae) in the Collection of the Natural History Museum, London",https://www.checklistbank.org/dataset/311702
298213,48882,SanchezFlores2020,block,host plant association,host plant Karwinskia placed under Aleyrodidae,Karwinskia [Animalia/Insecta/Hemiptera/Aleyrodidae] vs Zucc. [Plantae/Magnoliopsida/Rosales/Rhamnaceae],Plazi.org taxonomic treatments database,6,"Description of Aleuropleurocelus sampsoni sp. nov. (Hemiptera: Aleyrodidae) from Tamaulipas, Mexico",https://www.checklistbank.org/dataset/298213
23847,12468,Schnepp2019,block,host plant association,beetle Hesperobaenus placed under host palm Arecaceae,"Hesperobaenus [Plantae/Liliopsida/Arecales/Arecaceae] vs LeConte, 1861 [Animalia/Insecta/Coleoptera/Monotomidae]",Plazi.org taxonomic treatments database,3,The beetle fauna associated with the peduncle of Sabal mexicana (Arecaceae) in southern Texas,https://www.checklistbank.org/dataset/23847
313385,64834,Shalva2025,block,host plant association,host plant genera placed under Aphididae,Cedrus [Animalia/Insecta/Hemiptera/Aphididae] vs Trew [Plantae/Pinopsida/Pinales/Pinaceae]; Celtis [Animalia/Insecta/Hemiptera/Aphididae] vs L. [Plantae/Magnoliopsida/Rosales/Cannabaceae],Plazi.org taxonomic treatments database,626,Checklist of Georgian aphids (Hemiptera: Aphidomorpha),https://www.checklistbank.org/dataset/313385
309313,60263,Sherer2025,block,host plant association,bamboo host Guadua placed under Hesperiidae,Guadua [Animalia/Insecta/Lepidoptera/Hesperiidae] vs Kunth [Plantae/Liliopsida/Poales/Poaceae],Plazi.org taxonomic treatments database,11,"Immature stages and host plant records for the skipper butterflies Xeniades orchamus (Cramer, 1777), Dubia dubia (Bell, 1932), and Tricrista canta (Evans, 1955) in the Peruvian Amazon (Lepidoptera: Hesperiidae: Hesperiinae: Hesperiini)",https://www.checklistbank.org/dataset/309313
7456,7352,Sousa2021,block,host plant association,weevil genus Pygidiapion placed under host plant Fabaceae,"Pygidiapion De Sousa & Mermudes, 2021 [Plantae/Magnoliopsida/Fabales/Fabaceae] vs De Sousa & Mermudes, 2021 [Animalia/Insecta/Coleoptera/Brentidae]",Plazi.org taxonomic treatments database,5,"Pygidiapion De Sousa & Mermudes, a new genus of Apioninae (Brentidae Apioninae: Apionini) associated with Fabaceae from Brazil, with the description of a new species and transfer of Apion zikani Heller, 1922",https://www.checklistbank.org/dataset/7456
285319,46242,Stipanovic2016,block,host plant association,moth Helicoverpa placed under Malvaceae (cotton),"Helicoverpa [Plantae/Magnoliopsida/Malvales/Malvaceae] vs Hardwick, 1965 [Animalia/Insecta/Lepidoptera/Noctuidae]",Plazi.org taxonomic treatments database,5,"Gossypolhemiquinone, a dimeric sesquiterpenoid identified in cotton (Gossypium)",https://www.checklistbank.org/dataset/285319
28054,15966,Tang2018,block,host plant association,erotylid beetle Ceratophila placed under host cycad family Zamiaceae,"Ceratophila Tang & Skelley & Pérez-Farrera, 2018 [Plantae/Cycadopsida/Cycadales/Zamiaceae] vs Tang, Skelley & Pérez-Farrera, 2018 [Animalia/Insecta/Coleoptera/Erotylidae]",Plazi.org taxonomic treatments database,14,"Ceratophila, a new genus of erotylid beetles (Erotylidae: Pharaxonothinae) inhabiting male cones of the cycad Ceratozamia (Cycadales: Zamiaceae)",https://www.checklistbank.org/dataset/28054
264229,44469,Toljamo2021,block,host plant association,oomycete Phytophthora placed under host Rosaceae,"Phytophthora [Plantae/Magnoliopsida/Rosales/Rosaceae] vs de Bary, 1876 [Chromista/Peronosporea/Peronosporales/Peronosporaceae]",Plazi.org taxonomic treatments database,3,Terpenoid and lipid profiles vary in different Phytophthora cactorum - strawberry interactions,https://www.checklistbank.org/dataset/264229
286842,46545,Ube2019,block,host plant association,fungus Bipolaris placed under host Poaceae,Bipolaris [Plantae/Liliopsida/Poales/Poaceae] vs Shoemaker [Fungi/Dothideomycetes/Pleosporales/Pleosporaceae],Plazi.org taxonomic treatments database,3,Identification of phenylamide phytoalexins and characterization of inducible phenylamide metabolism in wheat,https://www.checklistbank.org/dataset/286842
29531,57421,Volynkin2018,block,host plant association,host plant Lactuca placed under Erebidae,Lactuca [Animalia/Insecta/Lepidoptera/Erebidae] vs L. [Plantae/Magnoliopsida/Asterales/Asteraceae],Plazi.org taxonomic treatments database,11,"A brief review of the genus Lithosarctia, with the description of a new species from China (Lepidoptera, Erebidae, Arctiinae)",https://www.checklistbank.org/dataset/29531
2724,3275,Xiong2022,block,host plant association,fungus Neodeightonia placed under host plant Arecaceae,Neodeightonia [Plantae/Liliopsida/Arecales/Arecaceae] vs C.Booth [Fungi/Dothideomycetes/Botryosphaeriales/Botryosphaeriaceae],Plazi.org taxonomic treatments database,3,"Neodeightonia arengae sp. nov., Botryosphaeriaceous taxa on Arenga tremula (Arecaceae) from Guangdong, China",https://www.checklistbank.org/dataset/2724
140863,42550,Xu2022,block,host plant association,host plant Rubus placed under Aphididae,Rubus [Animalia/Insecta/Hemiptera/Aphididae] vs L. [Plantae/Magnoliopsida/Rosales/Rosaceae],Plazi.org taxonomic treatments database,5,A new species of Aphis (Aphidinae: Aphidini) feeding on Rubus from China,https://www.checklistbank.org/dataset/140863
4837,57312,Zahiri2021,block,host plant association,host plant Sinapis placed under Pieridae,Sinapis [Animalia/Insecta/Lepidoptera/Pieridae] vs L. [Plantae/Magnoliopsida/Capparales/Brassicaceae],Plazi.org taxonomic treatments database,237,? An illustrated catalogue of the type specimens of Lepidoptera housed in the Zoological Museum Hamburg (ZMH): Part II. superfamily Papilionoidea,https://www.checklistbank.org/dataset/4837
24053,12643,Zhang2020,block,host plant association,fungus Curvularia placed under host Poaceae (backend#1608),"Curvularia [Plantae/Liliopsida/Poales/Poaceae] vs Boedijn, 1933 [Fungi/Dothideomycetes/Pleosporales/Pleosporaceae]",Plazi.org taxonomic treatments database,3,Diseases of Cymbopogon citratus (Poaceae) in China: Curvularia nanningensis sp. nov.,https://www.checklistbank.org/dataset/24053
315189,66542,Zhong2026,block,host plant association,fungus Diaporthe placed under host Fagaceae,"Diaporthe [Plantae/Magnoliopsida/Fagales/Fagaceae] vs Nitschke, 1870 [Fungi/Sordariomycetes/Diaporthales/Diaporthaceae]",Plazi.org taxonomic treatments database,10,Unveiling cryptic diversity of Diaporthe associated with leaf spots of Fagaceae in China using an integrative taxonomic approach,https://www.checklistbank.org/dataset/315189
45245,31339,Özdemir2014,block,host plant association,host plant Rhododendron placed under Aphididae,Rhododendron [Animalia/Insecta/Hemiptera/Aphididae] vs L. [Plantae/Magnoliopsida/Ericales/Ericaceae],Plazi.org taxonomic treatments database,6,"A new genus of Macrosiphini Wilson, 1910 (1887) (Hemiptera: Aphididae) from Rhododendron in Turkey",https://www.checklistbank.org/dataset/45245
313887,65322,Şahin2025,block,host plant association,host plant Valeriana placed under Aphididae,Valeriana [Animalia/Insecta/Hemiptera/Aphididae] vs L. [Plantae/Magnoliopsida/Dipsacales/Caprifoliaceae],Plazi.org taxonomic treatments database,7,"A new species of Aphis Linnaeus, 1758 (Hemiptera: Aphididae) from northwestern Türkiye",https://www.checklistbank.org/dataset/313887
29195,16851,Abrunhosa2018,block,host/parasite association,myxozoan Myxobolus placed under the fish host,"Myxobolus [Animalia/Teleostei/Siluriformes/Pimelodidae] vs Bütschli, 1882 [Animalia/Myxozoa/Bivalvulida/Myxobolidae]",Plazi.org taxonomic treatments database,3,"A new species of myxozoa in the skeletal striated musculature of Rhamdia quelen (Quoy & Gaimard) (Siluriforme: Pimelodidae) Amazonian fish, Marajó island, Brazil",https://www.checklistbank.org/dataset/29195
5467,50153,Acosta2003,block,host/parasite association,rodent host Peromyscus placed under Ceratophyllidae (fleas),"Peromyscus [Animalia/Insecta/Siphonaptera/Ceratophyllidae] vs Gloger, 1841 [Animalia/Mammalia/Rodentia/Cricetidae]",Plazi.org taxonomic treatments database,66,"New records of rodent fleas from Queretaro, Mexico (Siphonaptera)",https://www.checklistbank.org/dataset/5467
21391,10459,Aini2020,block,host/parasite association,fungus Akanthomyces placed under the moth host (Lepidoptera),Akanthomyces [Animalia/Insecta/Lepidoptera] vs Lebert [Fungi/Sordariomycetes/Cordycipitaceae],Plazi.org taxonomic treatments database,5,Diversity of Akanthomyces on moths (Lepidoptera) in Thailand,https://www.checklistbank.org/dataset/21391
33128,20183,Ansari2017,block,host/parasite association,copepod host Laophonte placed under suctorian ciliates,"Laophonte [Chromista/Kinetofragminophora/Suctorida/Paracinetidae] vs Philippi, 1840 [Animalia/Copepoda/Laophontidae]",Plazi.org taxonomic treatments database,13,Some epibiont suctorian ciliates from meiofaunal organisms of Maldivian archipelago with description of a new ciliate species,https://www.checklistbank.org/dataset/33128
50461,36405,Bandyopadhyay2006,block,host/parasite association,gregarine Nematocystis placed under the earthworm host,"Nematocystis [Animalia/Clitellata] vs Hesse, 1909 [Chromista/Conoidasida/Arthrogregarida/Monocystidae]",Plazi.org taxonomic treatments database,4,Nematocystis indicus sp. nov. (Apicomplexa: Monocystidae) from an Indian earthworm (Annelida: Oligochaeta) Perionyx excavatus (Perrier),https://www.checklistbank.org/dataset/50461
51344,37252,Baquero2003,block,host/parasite association,mite Polydiscia placed under the springtail host,"Polydiscia [Animalia/Collembola/Symphypleona] vs Methlagl, 1928 [Animalia/Arachnida/Trombidiformes/Johnstonianidae]",Plazi.org taxonomic treatments database,6,"A new species of Polydiscia (Acari, Prostigmata, Tanaupodidae) with reference to its host: a new species of Deuterosminthurus (Collembola, Symphypleona, Bourletiellidae)",https://www.checklistbank.org/dataset/51344
38855,25162,Bejarano2016,block,host/parasite association,Leishmania placed under the sand fly vector Psychodidae (backend#1608),"Leishmania [Animalia/Insecta/Diptera/Psychodidae] vs Ross, 1903 [Protozoa/Kinetoplastea/Trypanosomatida/Trypanosomatidae]",Plazi.org taxonomic treatments database,325,FAMILY PSYCHODIDAE,https://www.checklistbank.org/dataset/38855
8017,7829,BezerraSantos2020,block,host/parasite association,Eimeria placed under the opossum host,"Eimeria [Animalia/Mammalia/Didelphimorphia] vs Schneider, 1875 [Chromista/Conoidasida/Eucoccidiorida/Eimeriidae]",Plazi.org taxonomic treatments database,3,"Eimeria spp. (Apicomplexa: Eimeriidae) in Didelphis aurita Wied-Neuwied, 1826 (Didelphimorphia: Didelphidae) and description of a new species infecting this opossum",https://www.checklistbank.org/dataset/8017
8606,8349,Bratt2020,block,host/parasite association,sciomyzid Colobaea placed under the snail host Succineidae,"Colobaea Zetterstedt, 1837 [Animalia/Gastropoda/Succineidae] vs Zetterstedt, 1837 [Animalia/Insecta/Diptera/Sciomyzidae]",Plazi.org taxonomic treatments database,28,"Biology, immature stages, and systematics of snail-killing flies of the genus Colobaea (Diptera: Sciomyzidae), with overviews of aspects of the tribe Sciomyzini",https://www.checklistbank.org/dataset/8606
311734,62995,Cabral2021,block,host/parasite association,Toxoplasma placed under the bat host (Chiroptera),"Toxoplasma [Animalia/Mammalia/Chiroptera] vs Nicolle & Manceaux, 1909 [Chromista/Conoidasida/Eucoccidiorida/Sarcocystidae]",Plazi.org taxonomic treatments database,3,"Occurrence and diversity of Sarcocystidae protozoa in muscle and brain tissues of bats from Sao ˜ Paulo state, Brazil",https://www.checklistbank.org/dataset/311734
37002,23470,Cairns2013,block,host/parasite association,gastropod Pedicularia (associate of stylasterids) placed under Cnidaria,"Pedicularia [Animalia] vs Swainson, 1840 [Animalia/Gastropoda/Littorinimorpha/Ovulidae]",Plazi.org taxonomic treatments database,33,"Stylasteridae (Cnidaria, Hydrozoa, Filifera) from South Africa",https://www.checklistbank.org/dataset/37002
23066,11864,Chatterjee2020,block,host/parasite association,ostracod host Eucypris placed under ciliate family Epistylididae,"Eucypris [Chromista/Oligohymenophorea/Peritrichida/Epistylididae] vs Vavra, 1891 [Animalia/Ostracoda/Podocopida/Cyprididae]",Plazi.org taxonomic treatments database,91,"A checklist of ciliates (Ciliophora) inhabiting on ostracods (Crustacea, Ostracoda)",https://www.checklistbank.org/dataset/23066
25813,14069,Chuang2019,block,host/parasite association,wasp Philolema placed under the spider host Araneidae,"Philolema [Animalia/Arachnida/Araneae/Araneidae] vs Cameron, 1908 [Animalia/Insecta/Hymenoptera/Eurytomidae]",Plazi.org taxonomic treatments database,4,"Two hymenopteran egg sac associates of the tent-web orbweaving spider, Cyrtophora citricola (Forskal, 1775) (Araneae, Araneidae)",https://www.checklistbank.org/dataset/25813
36079,22625,Constantinescu2016,block,host/parasite association,feather mite Trouessartia placed under the bird host (backend#1608),"Trouessartia [Animalia/Aves/Passeriformes] vs Canestrini, 1899 [Animalia/Arachnida/Sarcoptiformes/Trouessartiidae]",Plazi.org taxonomic treatments database,4,"Two new species of the genus Trouessartia (Acari, Trouessartiidae) from laughingthrushes (Passeriformes, Leiothrichidae)",https://www.checklistbank.org/dataset/36079
35847,22434,Constantinescu2017,block,host/parasite association,feather mite Proterothrix placed under the bird host,"Proterothrix [Animalia/Aves/Passeriformes] vs Gaud, 1968 [Animalia/Arachnida/Sarcoptiformes/Proctophyllodidae]",Plazi.org taxonomic treatments database,3,"A new feather mite species of the genus Proterothrix Gaud, 1968 (Acarina, Proctophyllodidae) from the Large Niltava, Niltavagrandis (Passeriformes, Muscicapidae) - an integrative description",https://www.checklistbank.org/dataset/35847
313401,64846,Cristiano2020,block,host/parasite association,beetle Cis placed under host fungi (Agaricomycetes),"Cis [Fungi/Agaricomycetes] vs Latreille, 1797 [Animalia/Insecta/Coleoptera/Ciidae]",Plazi.org taxonomic treatments database,5,"A New Species of Cis Latreille (Coleoptera: Ciidae) from the USA, with Comments on the Use by Ciidae of Stereaceae Fungi (Basidiomycota: Agaricomycetes: Russulales) As Hosts",https://www.checklistbank.org/dataset/313401
51335,37244,Davidson2003,block,host/parasite association,wasp Cerceris (predator of buprestids) placed under Buprestidae,"Cerceris [Animalia/Insecta/Coleoptera/Buprestidae] vs Latreille, 1802 [Animalia/Insecta/Hymenoptera/Crabronidae]",Plazi.org taxonomic treatments database,10,"Mexican Acmaeodera Eschscholtz, 1829: A new species and checklist, with miscellaneous taxonomic and biological notes on other North American Buprestidae (Coleoptera)",https://www.checklistbank.org/dataset/51335
47409,33444,Davies2010,block,host/parasite association,nematode Fergusobia placed under host plant Myrtaceae,"Fergusobia [Plantae/Magnoliopsida/Myrtales/Myrtaceae] vs Currie, 1937 [Animalia/Chromadorea/Rhabditida/Neotylenchidae]",Plazi.org taxonomic treatments database,3,"Nematodes from galls on Myrtaceae. I. Fergusobia / Fergusonina galls on Corymbia spp., with re-description of F. m a g n a and notes on its phylogenetic relationships",https://www.checklistbank.org/dataset/47409
39311,25582,Dronen2015,block,host/parasite association,bird host genera placed under Cyclocoelidae (Trematoda),"Phoenicopterus [Animalia/Trematoda/Plagiorchiida/Cyclocoelidae] vs Linnaeus, 1758 [Animalia/Aves/Phoenicopteriformes/Phoenicopteridae]; Numenius [Animalia/Trematoda/Plagiorchiida/Cyclocoelidae] vs Brisson, 1760 [Animalia/Aves/Charadriiformes/Scolopacidae]",Plazi.org taxonomic treatments database,152,"Updated keys to the genera in the subfamilies of Cyclocoelidae Stossich, 1902, including a reconsideration of species assignments, species keys and the proposal of a new genus in Szidatitreminae Dronen, 2007",https://www.checklistbank.org/dataset/39311
36320,22834,Dronen2017,block,host/parasite association,trematode Uvitellina placed under the bird host,"Uvitellina [Animalia/Aves/Charadriiformes] vs Witenberg, 1923 [Animalia/Trematoda/Plagiorchiida/Cyclocoelidae]",Plazi.org taxonomic treatments database,3,"Intraspecific variation in adult Uvitellina iraquensis Dronen, Ali & Al-Amura, 2013 (Cyclocoelidae: Haematotrephinae) from two collection sites of white-tailed lapwing, Vanellus leucurus (Lichtenstein) (Charadriiformes: Charadriidae), in Iraq",https://www.checklistbank.org/dataset/36320
28957,16651,GaryAPGibson2016,block,host/parasite association,lepidopteran host Dendrolimus placed under Eupelmidae,"Dendrolimus [Animalia/Insecta/Hymenoptera/Eupelmidae] vs Germar, 1812 [Animalia/Insecta/Lepidoptera/Lasiocampidae]",Plazi.org taxonomic treatments database,101,Revision of the Palaearctic species of Eupelmus (Eupelmus) Dalman (Hymenoptera: Chalcidoidea: Eupelmidae),https://www.checklistbank.org/dataset/28957
44557,30678,Gibson2012,block,host/parasite association,eupelmid egg parasitoids placed under the phasmid host,"Tineobius [Animalia/Insecta/Phasmida] vs Ashmead, 1896 [Animalia/Insecta/Hymenoptera/Eupelmidae]; Anastatus Motschulsky, 1859 [Animalia/Insecta/Phasmida] vs Motschulsky, 1859 [Animalia/Insecta/Hymenoptera/Eupelmidae]; Eupelmus [Animalia/Insecta/Phasmida] vs Dalman, 1820 [Animalia/Insecta/Hymenoptera/Eupelmidae]",Plazi.org taxonomic treatments database,23,"Nomenclatural changes in Anastatus Motschulsky and the description of Anastatus eurycanthae Gibson n. sp. (Eupelmidae: Eupelminae), an egg parasitoid of Eurycantha calcarata Lucas (Phasmida: Phasmatidae) from Papua New Guinea",https://www.checklistbank.org/dataset/44557
30597,18009,Gupta2018,block,host/parasite association,braconid Acanthormius placed under the lepidopteran host,"Acanthormius [Animalia/Insecta/Lepidoptera] vs Ashmead, 1906 [Animalia/Insecta/Hymenoptera/Braconidae]",Plazi.org taxonomic treatments database,3,A new species of Acanthormius (Braconidae: Lysiterminae) reared as a gregarious parasitoid of psychid caterpillar (Lepidoptera: Psychidae) from India,https://www.checklistbank.org/dataset/30597
26499,14647,Gustafsson2019,block,host/parasite association,bird host Lonchura placed under Philopteridae,"Lonchura [Animalia/Insecta/Psocodea/Philopteridae] vs Sykes, 1832 [Animalia/Aves/Passeriformes/Estrildidae]",Plazi.org taxonomic treatments database,95,The genera and species of the Brueelia - complex (Phthiraptera: Philopteridae) described by Mey (2017),https://www.checklistbank.org/dataset/26499
