15	1015	ILDIS World Database of Legumes	ILDIS	Legumes	Roskov Y., Zarucchi J., Novoselova M. & Bisby F.(†) (eds)	International Legume Database and Information Service (ILDIS)	Yuri Roskov & James Zarucchi	12, May 2014	2014-05-05	The International Legume Database and Information Service (ILDIS) is a long-term programme of co-operation among legume specialists world-wide to create a biodiversity database for the Leguminosae (Fabaceae) family. The database provides a taxonomic checklist plus basic factual data on distribution, common names, life-forms, uses, literature references to descriptions, illustrations and maps. Now database includes contribution from "ILDIS for i4Life" dataset by M. Novoselova, 2013.	Global
16	1016	IOPI Global Plant Checklist	IOPI-GPC	Five families of seed plants	Wilson K.L. & Berendsohn W.G. (eds)	International Organization for Plant Information (IOPI)	Karen Wilson & Walter Berendsohn (eds)	10.0, Aug 2007	2007-08-01	The International Organization for Plant Information (IOPI) aims to produce a database of all vascular plant species and other products such as a World Flora. The checklist currently holds over 200,000 names and implements the innovative potential taxon concept. Data for 5 flowering plant families are included in this Annual Checklist.  Casuarinaceace data supplied by K.L. Wilson and L.A.S. Johnson† (Royal Botanic Gardens Sydney), 1996. Chrysobalanaceae data supplied by G.T. Prance & C.A. Sothers (Royal Botanic Gardens Kew), 2003. Eucalypt data supplied by K.D. Hill & L.C. Stanberg (Royal Botanic Gardens Sydney), 2004. Irvingiaceae data supplied by D.J. Harris (Royal Botanic Garden, Edinburgh), 1999. Juncaceae data compiled by J. Kirschner (Institute of Botany, Pruhonice), 2002.	Global
17	1017	ITIS Regional: The Integrated Taxonomic Information System	ITIS Regional	Wide range of taxa in all kingdoms	Orrell T. (custodian)	The Integrated Taxonomic Information System (ITIS)	T Orrell (custodian)	Jun 2017	2017-06-01	ITIS supplies both global and New World groups to the Catalogue of Life – with emphasis on GSDs. ITIS develops taxonomic coverage of all biota of interest to North America and contains over 855,500 scientific and common names and has either a global or New World treatment of many groups.	Regional (New World, variable)
18	1018	LepIndex: The Global Lepidoptera Names Index	LepIndex	Butterflies and moths	Beccaloni G., Scoble M., Kitching I., Simonsen T., Robinson G., Pitkin B., Hine A. & Lyal C.	Natural History Museum, London, UK	Adrian Hine, Natural History Museum	12.3, Jan 2012	2012-01-11	LepIndex is a digitised and updated version of the unique index card archive to the scientific names of the living and fossil butterflies and moths of the world at the Natural History Museum (London). This card index was produced by the museum’s lepidopterists over many decades and contains about 95 % of all currently valid Lepidoptera names (15,578 genus and 157,474  species names in total), together with synonyms, misspellings and misidentifications.	Global
19	1019	MOST: Moss TROPICOS Database	MOST	Mosses	Crosby M.R. & Magill R. (eds)	Missouri Botanical Garden, St Louis, USA	Bob Magill	1, Jul 2004	2004-07-19	The World Checklist of Mosses (W3MOST) provides current information on bryophyte species from the TROPICOS MOST database compiled by the Index of Mosses project, at the Missouri Botanical Garden. This database extraction, unlike the Index of Mosses, includes taxonomic opinions of numerous authors. All the known species of mosses are included.	Global
20	1020	Odonata: Global Species Database of Odonata	Odonata	Dragonflies and damselflies	Tol J. van 	Naturalis Biodiversity Centre, Leiden, The Netherlands	J van Tol	Dec 2011	2011-12-24	The Global Species Database of Odonata is a list of all names of extant species of dragonflies and damselflies of the world. The present list is based on a database built during a period of twenty years. The original information was derived from a published catalogue by Davies & Tobin (1984, 1985). However, original publications were consulted to check the spelling and original combination of (virtually) all names. The present taxonomic status of every name in this list is based on published authoritative sources. Addition of the names of fossil taxa, and setting up a management committee for this database, are to be expected in the near future. The original information of the GSD Odonata is managed using a FoxPro application.	Global
21	1021	OrthopteraSF: Orthoptera Species File	OrthopteraSF	Grasshoppers, locusts, katydids, crickets	Eades D.C., Otte D., Cigliano M.M., Braun H.	The Orthopterists' Society; Illinois Natural History Survey, Champaign IL, USA	DC  Eades & D Otte	5.0, Jun 2017	2017-06-06	The Orthoptera Species File is a taxonomic database of the world's Orthoptera (grasshoppers, locusts, katydids and crickets), both living and fossil. It has full synonymic and taxonomic information for more than 25,412 valid species, 42,535 scientific names, 166,050 citations to 12,513 references, 70,627 images, 189 sound recordings, 78,917 specimen records, and keys to 2,860 taxa.	Global
22	1022	Parhost: World Database of Fleas	Parhost	Fleas	Medvedev S., Lobanov A. & Lyangouzov I.	Zoological Institute, Russian Academy of Sciences, St Petersburg, Russia	S Medvedev, A Lobanov & I Lyangouzov	2, Nov 2005	2005-11-14	The Parhost World Database of Fleas is a complete electronic taxonomic checklist of order Siphonaptera. This is part of the original analytical system PARHOST, which contains extensive data on flea morphology, parasite–host associations, and geographical distribution.	Global
23	1023	Phyllachorales	Phyllachorales	Tropical tar-spot fungi	Cannon P.F.	Royal Botanic Gardens, Kew, Richmond, UK	PF Cannon	Jan 2016	2016-01-22	Phyllachorales are mostly biotrophic parasites of angiosperms with strong evidence of co-evolution (particularly with the legumes and grasses); some are necrotrophic and a few saprobic. They occur primarily on the leaves and stems, rarely on the roots and have a widespread, but especially tropical, distribution linked, in the case of the biotrophs, with their hosts.	Global
24	1024	WCSP: World Checklist of Selected Plant Families	WCSP	113 families of seed plants	Govaerts R. (ed). For a full list of reviewers see: http://apps.kew.org/wcsp/compilersReviewers.do	Royal Botanic Gardens Kew, Richmond, Surrey, UK	Rafael Govaerts (editor) & Alan Paton (on behalf of custodian)	Sep 2014	2014-09-05	These global plant family checklists are facilitated by the Royal Botanic Gardens, Kew. Each family checklist aims to provide the correct scientific name and includes all known published and accepted species and infraspecific taxa with their synonyms. They include the global distribution both in a narrative form and as the Botanical country codes as defined by the Taxonomic Databases Working Group. Pertinent nomenclatural and other comments as well as life-forms are included. All data have been peer reviewed by nomenclatural, taxonomic and regional experts from accross the world. Poaceae data is derived from Grassbase - the online world grassflora, W.D. Clayton, K.T. Harman & H. Williamson (www.kew.org/data/grasses-db.html).	Global
25	1025	Rhytismatales	Rhytismatales	Tar-spot fungi	Minter D.W.	Royal Botanic Gardens, Kew, Richmond, UK	DW Minter	Jan 2016	2016-01-22	The Rhytismatales, commonly referred to as ‘tar-spot’ fungi, are facultatively biotrophic, necrotrophic or saprobic on leaves and bark, sometimes also fruits, seeds and wood, frequently beginning as symptomless endobionts, later fruiting when the substratum has died. Those causing economic damage as needle diseases in conifers are the least poorly known. Their positive value as nutrient recyclers, and their possible protective role as endobionts is almost completely unevaluated. Most records are from the north temperate to subarctic zones, or from southern South America and Australasia; many collections are on conifers, the Ericaceae and Gramineae. Some species are widespread and plurivorous; others highly host-specific and limited in distribution.	Global
26	1026	ScaleNet: Systematic Database of the Scale Insects of the World	ScaleNet	Scale insects	Ben-Dov Y. & Miller D.R.	Agricultural Research Organization, Bet Dagan, Israel; USDA, Systematic Entomology Laboratory, Beltsville, USA	Y Ben-Dov & DR Miller	Dec 2004	2004-12-05	The ScaleNet site provides comprehensive information on the scale insects (Hemiptera: Coccoidea) of the world, including queriable information on their classification, nomenclatural history, geographical distribution, host plants, natural enemies, economic importance and literature. Currently information can be retrieved for 27 families, and data of about 21,000 references dating from 1758 to the present. Ultimately, information will be provided for all 28 families of scale insects, comprising more than 7,500 species.	Global
27	1027	Scarabs: World Scarabaeidae Database	Scarabs	Scarab beetles	Schoolmeesters P.	Individual custodian	P Schoolmeesters	Jul 2017	2017-07-10	The World Scarabaeidae Database is currently only accessible through this checklist. It is included on the Annual Checklist by kind permission of Paul Schoolmeesters (schoolp@skynet.be). The Scarabids are a large family of beetles, believed to include about 35,000 species.	Global
28	1028	Species Fungorum	Species Fungorum	Fungi; protozoan fungi; chromistan fungi	Kirk P.M.	Royal Botanic Gardens, Kew, Richmond, UK	Paul Kirk	Jan 2016	2016-01-22	The Index Fungorum (maintained by the Index Fungorum Partnership) is the global nomenclatural database for fungi (Fungi, chromistan fungi, protozoan fungi) and contains over 380,000 names at the rank of species and below. Some names in this database comprise the Species Fungorum component from CABI Bioservices and are identified as the correct name for a taxon or as a synonym. The names of about 34,000 species (plus 65,000 synonyms) of mainly economically important fungi in groups that are not yet covered globally in other GSDs are included. Species Fungorum aspires to be a global checklist of the fungi and provides links to sources of additional information (descriptions, illustrations, on-line identification systems) where these are available.	Global
29	1029	WSC: World Spider Catalog	WSC	Spiders	Kropf C., Nentwig W., Gloor D. (Organizing Board)	Natural History Museum of Bern, Bern, Switzerland	Daniel Gloor	18, Jan 2017	2017-01-31	A successor to 14 published volumes by Bonnet, Roewer, Brignoli, Platnick, and the online version by Platnick, the World Spider Catalog aims to provide listings of all currently valid species, genera, and families of spiders, all their synonyms, and all significant taxonomic references to each species, from Linnaeus to date. The World Spider Catalog is continuously updated.	Global
30	1030	TicksBase	TicksBase	Ticks	Nijhof A.M., Guglielmone A.A. & Horak I.G.	Utrecht University, The Netherlands	AM Nijhof, AA Guglielmone & IG Horak	5.6, Jun 2005	2005-06-15	TicksBase is a searchable taxonomic catalogue of all known ticks (Acari: Ixodida) of the world and is facilitated by the International Consortium on Ticks and Tick-borne Diseases (ICTTD). It currently comprises 889 valid species (702 Ixodid, 186 Argasid and 1 Nuttalliella tick (sub-)species), including their synonyms, (limited) distribution data and common names.	Global
31	1031	Tineidae NHM: Global Taxonomic Database of Tineidae (Lepidoptera)	Tineidae NHM	Clothes-moths	Robinson G.S (†)	Natural History Museum, London, UK	A Hine	9.0, Nov 2011	2011-11-21	The Tineidae - the clothes-moth family - comprises more than 2,000 currently recognized species (with almost 3000 applicable names) of small to medium-sized moths. They differ from all other Lepidoptera in their unorthodox larval biology: most tineid larvae feed on plant or animal detritus, lichen or fungi. In addition to the data available in the Catalogue of Life, this database also gives information on where, when and by whom each taxon was described, and where the original type specimen(s) came from.	Global
32	1032	TITAN: Cerambycidae database	TITAN	Longhorn beetles, timber beetles	Tavakilian G.  & Chevillotte H.	Institut de Recherche pour le Développement (IRD), MNHN, Paris, France	G Tavakilian	Apr 2015	2015-04-03	Database started in 1986 with Cerambycids of the whole American Continent and extended to world wide species since 2002. It contains about 35.000 species and more than 215.000 bibliographic links including first publications, types locations, synonyms, flight period, host plants, behaviour, chorology, mimectics, parasites, phoretics and predators.	Global
33	1033	Trichomycetes	Trichomycetes	Fungi associated with Arthropods	Lichtwardt R.W.	University of Kansas, Lawrence, USA	RW Lichtwardt	Jan 2016	2016-01-22	The trichomycetes (Fungi, class Trichomycetes plus ecologically related
protozoans) are a cosmopolitan group of organisms that grow obligately in the guts of insects, crustaceans and millipedes that live in freshwater, marine or terrestrial habitats. Many trichomycetes appear to be commensalistic, but under particular circumstances they may provide their hosts with some essential organic nutrients. Some are known to produce cysts in the ovaries of adult females hosts which, in addition to sterilizing the host, serve as a mechanism of dispersal.	Global
34	1034	UCD: Universal Chalcidoidea Database	UCD	Chalcidoid wasps	Noyes J.	Natural History Museum, London, UK	J Noyes	Sep 2007	2007-09-17	Work on the Universal Chalcidoidea Database was started, with the help of small grants from Unilever and Tate & Lyle plc, in August 1991 with the aim of making it freely available in electronic format. The Chalcidoidea is a large group of insects, currently numbering about 23,000 species, many of which have an important impact on major ecosystems and are frequently used for the biocontrol of insect pests. The database is intended to provide comprehensive information on the taxonomy, biology and distribution of all included species.	Global
36	1036	Xylariaceae: Home of the Xylariaceae	Xylariaceae	Fungi associated with dead wood	Ju Y.M. & Rogers J. 	Institute of Plant and Microbial Biology, Academia Sinica, Taipei, Taiwan; Deptartment of Plant Pathology, Washington State University, USA	YM Ju & J Rogers	Jan 2016	2016-01-22	Members of the Xylariaceae are among the most commonly encountered groups of ascomycetes. Most are inhabitants of wood, seeds, fruits or leaves of angiosperms; some are associated with insect nests. Whilst most are saprobic and decay wood, some are plant pathogens; many are endophytes. They are commonly found throughout the temperate and tropical regions of the World.	Global
37	1037	ZOBODAT: Zoological-Botanical Database (Vespoidea)	ZOBODAT Vespoidea	Vespid wasps	Gusenleitner J.	Oberostereichisches Landesmuseum, Biologiezentrum, Linz, Austria	J Gusenleitner	4.0, Oct 2011	2011-10-14	ZOBODAT is a digitally organised biogeographical database including facilities for analysis, documentation and communication. Founded in 1972 by Univ.- Prof. Dr. Ernst Rudolf Reichl, ZOBODAT was taken over by the federal county of Upper Austria in 1999. It is located at the Biology Centre of the Museum of Upper Austria. The original database includes information about the temporal and spatial distribution of animal and plant species and various supporting information topics. Most of the data traditionally refer to insects of Austria, but ZOBODAT can be used for all groups of organisms and world-wide. ZOBODAT contributes world vespid wasps to the Catalogue of Life.	Global
38	1038	Zygomycetes	Zygomycetes	Pin moulds and related fungi	Kirk P.M.	Royal Botanic Gardens, Kew, Richmond, UK	Paul Kirk	Jan 2016	2016-01-22	The Mucorales, Zoopagales, Dimargaritales and Kickxellales are characterised by a wide range of life strategies for such a relatively small number of phylogenetically related species. Whilst most are saprobic (in soil) others are pathogenic on plants, animals (including man) and other fungi, either facultatively and unspecialized or highly host specific. They are mainly mesophiles but some are psychrophiles and others thermophiles; most are temperate but some only have a tropical distribution and a number of species are very widely distributed, having been recorded from the Antarctic, high northern latitudes and both east and west in temperate and tropical zones.	Global
39	1039	WTaxa: Electronic Catalogue of Weevil names (Curculionoidea) 	WTaxa	Weevils	Alonso-Zarazaga M.A. & Lyal C.H.C. (authors), Sánchez-Ruiz M. (technical editor)	Museo Nacional de Ciencias Naturales, Madrid, Spain & Natural History Museum, London, UK	MA Alonso-Zarazaga & CHC Lyal (authors), M Sánchez-Ruiz (technical editor)	Oct 2016	2016-10-20	The Electronic Catalogue of Weevil Names is a project in progress. Ultimately it will contain all family, genus and species-group names in the Curculionoidea, a group of beetles with about 60,000 described species which contains many important insects, including the bark beetles (Scolytinae) and powder-post beetles (Platypodinae). Currently the database contains all generic and family-group names, in their current taxonomic position, and based on Alonso-Zarazaga & Lyal?s (1999, 2002, 2009) and Lyal & Alonso-Zarazaga's (2005) catalogue of weevil family and genus names. Species-group names are now added up to the end of 2014. These, and their subsequent combinations, have been checked against original publication and current placement for most names firstly published before 1801. All these names have been adequately qualified under the provisions of the International Code of Zoological Nomenclature, 4th Edition. Many duplicate names appearing in previous versions have been eliminated.	Global
40	1040	AnnonBase: Annonaceae GSD	AnnonBase	Custard apples	Rainer H. & Chatrou L.W. (eds)	Annonaceae Working Group	Heimo Rainer	Jan 2014	2014-01-22	AnnonBase includes all published names of Annonaceae of any rank worldwide. The idea of this development is to serve as a concise taxonomic backbone for basic as well as applied scientific studies. The AnnonBase source database also includes references to type material and their location of deposit. This releases includes information on vernacular names, distributional data and links to relevant information sources. Database development and maintenance has been done at the Austrian Academy of Sciences, the Natural History Museum of Vienna, and the University of Vienna and was partly funded by the European Commission.	Global
41	1041	SysMyr: Systematic Myriapod Database	SysMyr	Diplopods, pauropods and symphylans	Spelda J.	Bavarian State Collection of Zoology, Munich, Germany	J Spelda	Apr 2013	2013-02-28	SysMyr was developed by Jörg Spelda, in collaboration with the Bavarian State Collection for Zoology as a taxonomic backbone for the GBIF-D node 'Evertebrata II' and later updated in cooperation with Petra Sierwald's  Millibase project. SysMyr provides diverse information on over 30,000 names of Chilopoda, Diplopoda, Pauropoda and Symphyla. The acceptance status is automatically evaluated and depends on the latest citation found in the included literature. Since the  release of August 2012 all diplopod orders  have been updated to > 90% completeness (only the Polydesmida perhaps less) with the synonymies critically checked. The present release (April 2013) adds newly described species and updates some synonymies and distributions mainly for species from the Balkans.	Global
42	1042	ChiloBase: A World Catalogue of Centipedes (Chilopoda) for the web	ChiloBase	Centipedes	Minelli A. (ed)	Department of Biology, University of Padova, Padova, Italy	A Minelli	1.01, May 2006	2006-10-10	ChiloBase is a taxonomic database of all known extant centipedes (Chilopoda) of the world including a modern taxonomic system. It provides information on all taxa within the group, including synonymy. In addition to the data available through the Catalogue of Life, the original database also includes original descriptions, type localities and type species. It was compiled by an international team of expert taxonomists with support from GBIF.	Global
43	1043	LecyPages: The Lecythidaceae Pages	LecyPages	Brazil nut family	Mori S.A., Prance G.T. & Tulig M.	The New York Botanical Garden, New York, USA	M Tulig	Oct 2006	2006-10-17	The Lecythidaceae is a family of tropical trees found in Africa, Madagascar, Southeast Asia, and the New World tropics. It reaches its greatest diversity in the Neotropics and is best known for the Brazil nut of commerce (Bertholletia excelsa) and the cannon-ball tree (Couroupita guianensis). The latter species, although native to the Neotropics, is planted as an ornamental and botanical curiosity in subtropical and tropical botanical gardens throughout the world. The database includes all names in the family with the status (accepted or unaccepted) and synonymy provided for each name. The names have been abstracted from the most recent monographs of the family. A more comprehensive database, especially of the New World species, is found as part of the Virtual Herbarium of The New York Botanical Garden.	Global
44	1044	WoRMS Porifera: World Porifera database	WoRMS Porifera		Van Soest R.W.M, Boury-Esnault N., Hooper J.N.A., Rützler K., de Voogd N.J., Alvarez de Glasby B., Hajdu E., Pisera A.B., Manconi R., Schoenberg C., Klautau M., Picton B., Kelly M., Vacelet J., Dohrmann M., Díaz M.-C., Cárdenas P., Carbal	Zoological Museum of the University of Amsterdam, Amsterdam, The Netherlands	Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carbal	2017-08-01	2017-08-01	The World Porifera database is a searchable catalogue of recent sponge species and higher taxon names. The catalogue is intended to promote stability and act as a tool for higher taxon revisions, regional monographs, and eventually as a catalogue of the world’s sponge specimen databases as these are slowly being accumulated through EurOBIS and GBIF. Data are contributed to the Catalogue of Life via the World Register of Marine Species (WoRMS), hosted by the Flanders Marine Institute (VLIZ).	NULL
45	1045	Conifer Database	Conifer Database	Conifers	Farjon A., Gardner M. & Thomas P.	Royal Botanic Garden, Edinburgh, UK	Philip Thomas (P.Thomas@rbge.ac.uk) and Aljos Farjon	Jan 2014	2014-06-18	The Conifer database is a taxonomic and specimen database of all 615 species of conifers in the world based on herbarium specimens from many herbaria. The database has been compiled primarily as a tool for taxonomic revisions and to produce checklists and monographs. Recent outputs have been A Handbook of the World's Conifers (2010) and An Atlas of the World's Conifers (2013), both by A. Farjon and published by Brill in Leiden. Work on the database is in progress. Over 4,000 new conifer common names in 20 languages and additional references have been contributed as a result of 4D4Life pilot projects.	Global
46	1046	GloBIS (GART): Global Butterfly Information System	GloBIS (GART)	Hairstreaks, blues, coppers, swallowtails and whites	Häuser C., Holstein J., Kroupa A.S., Steiner A. & Turiault M. (eds)	Museum für Naturkunde - Leibniz Institute for Research on Evolution and Biodiversity	CL Häuser	Sep 2013	2013-09-01	The GloBIS/GART database provides the taxonomic backbone for a global information system on butterflies. In addition to the data presented in the Catalogue of Life, the original GloBIS/GART database provides information about the type material such as type locality, status and current location of the type specimens and images, as well as the original and current taxonomic placement. Currently data for the families Papilionidae or "Swallowtails" (553 recognized species, more than 2,100 subordinate taxa), Pieridae or "Whites" (1,108 recognized species, more than 700 subordinate taxa), and Lycaenidae or "Hairstreaks, Blues, and Coppers" (10,879 entered species names, more than 2,000 subordinate taxa) are available, and other butterfly groups to follow.	Global
47	1047	FADA Rotifera: Annotated checklist of the rotifers (Phylum Rotifera)	FADA Rotifera	Rotifers	Segers H.	FADA project, Belgian Biodiversity Platform, Royal Belgian Institute of Natural Sciences, Brussels, Belgium	H Segers	May 2012	2012-12-11	A taxonomic database of accepted and the most commonly used synonyms in the phylum Rotifera with information on biogeography. The database was prepared under the Freshwater Animal Diversity Assessment project. This version supplied for the Catalogue of Life by FADA is based on a print version, published in the journal Zootaxa (see<ahref="http://www.mapress.com/zootaxa/list/2007/2007-08.html#Zootaxa%201564"target="_blank">http://www.mapress.com/zootaxa/list/2007/2007-08.html#Zootaxa%201564</a>or<ahref="http://www.mapress.com/zootaxa/2007f/zt01564p104.pdf"target="_blank">http://www.mapress.com/zootaxa/2007f/zt01564p104.pdf</a>. Users are urged to use and cite this printed version.	Global
48	1048	RJB Geranium: Geranium Taxonomic Information System	RJB Geranium	Cranesbills, geraniums	Aedo C.	Real Jardín Botánico de Madrid, CSIC, Madrid, Spain	C Aedo	Jul 2012	2012-07-18	This is a database of Geranium names and synonymic checklist of the genus which is a part of a project to prepare a worldwide monograph of cranesbills. It is partly financed by the Spanish Government through the research projects REN2003-00982/GLO, CGL2004-00172/BOS and CGL2007-60184/BOS.	Global
49	1049	Global Gracillariidae: Global Taxonomic Database of Gracillariidae	Global Gracillariidae	Gracillariid moths	De Prins J. & De Prins W.	Belgian Biodiversity Platform, Royal Museum for Central Africa, Tervuren, Belgium	A Heughebaert	Jan 2011	2011-08-26	The Gracillariidae is one the largest families of primitive moths (Lepidoptera). Gracillariid moths are generally distributed throughout the world except Antarctica, and they are more numerous in tropical areas. Many species of Gracillariidae are serious pests of agricultural and ornamental plants. The Global Taxonomic Database of Gracillariidae currently holds information on 151 genus-group names and in total 2.556 species-group names, belonging to 104 genera.	Global
50	1050	PhasmidaSF: Phasmida Species File 	PhasmidaSF	Stick and leaf insects	Brock P.	The Natural History Museum, London, UK	P Brock	5.0, Jun 2017	2017-06-06	The Phasmida Species File is a taxonomic database of the world's Phasmida (stick and leaf insects, known as walking sticks and walking leaves in the U.S.). It contains full synonymic and taxonomic information for c. 3,050 valid species. There are c. 27,600 citations to c. 2500 references, also c. 6,200 specimen records and more than 11,500 images of over two thirds of valid species. The database is being continually updated by the author (Paul Brock), making it user friendly to taxonomists and rearers.	Global
51	1051	CockroachSF: Cockroach Species File	CockroachSF	Cockroaches	Beccaloni G.W.	Wallace Correspondence Project	G Beccaloni	5.0, Jun 2017	2017-06-06	The Cockroach Species File is a new name for BlattodeaSF. It is an up-to-date taxonomic catalogue of the world's cockroaches, excluding fossil species. Cockroaches belong to the order Blattodea (sometimes known as Blattaria) as too do the termites. In the past termites were thought to be a separate order, Isoptera, but recent work confirms that they are in fact blattodeans. The CockroachSF includes c. 6,700 scientific names (all ranks, valid and not valid) and c. 4,600 valid species are recognised. Images of museum specimens (especially types), plus pictures of living cockroaches are slowly being added.	Global
